Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	285	285	0	1.0	285	285	0	1.0	285	285	0	1.0	285	285	0	1.0	285	285	0	1.0	285	285	0	1.0	285	285	0	1.0	285	285
1	1.0	125	410	1	1.0	125	410	1	1.0	125	410	1	1.0	125	410	1	1.0	125	410	1	1.0	125	410	1	1.0	125	410	1	1.0	125	410
2	1.0	108	518	2	1.0	108	518	2	1.0	108	518	2	1.0	108	518	2	1.0	108	518	2	1.0	108	518	2	1.0	108	518	2	1.0	108	518
3	1.0	108	626	3	1.0	108	626	3	1.0	108	626	3	1.0	108	626	3	1.0	108	626	3	1.0	108	626	3	1.0	108	626	3	1.0	108	626
4	1.0	154	780	4	1.0	154	780	4	1.0	154	780	4	1.0	154	780	4	1.0	154	780	4	1.0	154	780	4	1.0	154	780	4	1.0	154	780
5	1.0	107	887	5	1.0	107	887	5	1.0	107	887	5	1.0	107	887	5	1.0	107	887	5	1.0	107	887	5	1.0	107	887	5	1.0	107	887
6	1.0	102	989	6	1.0	102	989	6	1.0	102	989	6	1.0	102	989	6	1.0	102	989	6	1.0	102	989	6	1.0	102	989	6	1.0	102	989
7	1.0	100	1089	7	1.0	100	1089	7	1.0	100	1089	7	1.0	100	1089	7	1.0	100	1089	7	1.0	100	1089	7	1.0	100	1089	7	1.0	100	1089
8	1.0	74	1163	8	1.0	74	1163	8	1.0	74	1163	8	1.0	74	1163	8	1.0	74	1163	8	1.0	74	1163	8	1.0	74	1163	8	1.0	74	1163
9	1.0	51	1214	9	1.0	51	1214	9	1.0	51	1214	9	1.0	51	1214	9	1.0	51	1214	9	1.0	51	1214	9	1.0	51	1214	9	1.0	51	1214
10	1.0	54	1268	10	1.0	54	1268	10	1.0	54	1268	10	1.0	54	1268	10	1.0	54	1268	10	1.0	54	1268	10	1.0	54	1268	10	1.0	54	1268
11	1.0	37	1305	11	1.0	37	1305	11	1.0	37	1305	11	1.0	37	1305	11	1.0	37	1305	11	1.0	37	1305	11	1.0	37	1305	11	1.0	37	1305
12	1.0	42	1347	12	1.0	42	1347	12	1.0	42	1347	12	1.0	42	1347	12	1.0	42	1347	12	1.0	42	1347	12	1.0	42	1347	12	1.0	42	1347
13	1.0	49	1396	13	1.0	49	1396	13	1.0	49	1396	13	1.0	49	1396	13	1.0	49	1396	13	1.0	49	1396	13	1.0	49	1396	13	1.0	49	1396
14	1.0	76	1472	14	1.0	76	1472	14	1.0	76	1472	14	1.0	76	1472	14	1.0	76	1472	14	1.0	76	1472	14	1.0	76	1472	14	1.0	76	1472
15	1.0	43	1515	15	1.0	43	1515	15	1.0	43	1515	15	1.0	43	1515	15	1.0	43	1515	15	1.0	43	1515	15	1.0	43	1515	15	1.0	43	1515
16	1.0	47	1562	16	1.0	47	1562	16	1.0	47	1562	16	1.0	47	1562	16	1.0	47	1562	16	1.0	47	1562	16	1.0	47	1562	16	1.0	47	1562
17	1.0	50	1612	17	1.0	50	1612	17	1.0	50	1612	17	1.0	50	1612	17	1.0	50	1612	17	1.0	50	1612	17	1.0	50	1612	17	1.0	50	1612
18	1.0	63	1675	18	1.0	63	1675	18	1.0	63	1675	18	1.0	63	1675	18	1.0	63	1675	18	1.0	63	1675	18	1.0	63	1675	18	1.0	63	1675
19	1.0	48	1723	19	1.0	48	1723	19	1.0	48	1723	19	1.0	48	1723	19	1.0	48	1723	19	1.0	48	1723	19	1.0	48	1723	19	1.0	48	1723
20	1.0	49	1772	20	1.0	49	1772	20	1.0	49	1772	20	1.0	49	1772	20	1.0	49	1772	20	1.0	49	1772	20	1.0	49	1772	20	1.0	49	1772
21	1.0	29	1801	21	1.0	29	1801	21	1.0	29	1801	21	1.0	29	1801	21	1.0	29	1801	21	1.0	29	1801	21	1.0	29	1801	21	1.0	29	1801
22	1.0	30	1831	22	1.0	30	1831	22	1.0	30	1831	22	1.0	30	1831	22	1.0	30	1831	22	1.0	30	1831	22	1.0	30	1831	22	1.0	30	1831
23	1.0	33	1864	23	1.0	33	1864	23	1.0	33	1864	23	1.0	33	1864	23	1.0	33	1864	23	1.0	33	1864	23	1.0	33	1864	23	1.0	33	1864
24	1.0	34	1898	24	1.0	34	1898	24	1.0	34	1898	24	1.0	34	1898	24	1.0	34	1898	24	1.0	34	1898	24	1.0	34	1898	24	1.0	34	1898
25	1.0	31	1929	25	1.0	31	1929	25	1.0	31	1929	25	1.0	31	1929	25	1.0	31	1929	25	1.0	31	1929	25	1.0	31	1929	25	1.0	31	1929
26	1.0	35	1964	26	1.0	35	1964	26	1.0	35	1964	26	1.0	35	1964	26	1.0	35	1964	26	1.0	35	1964	26	1.0	35	1964	26	1.0	35	1964
27	1.0	38	2002	27	1.0	38	2002	27	1.0	38	2002	27	1.0	38	2002	27	1.0	38	2002	27	1.0	38	2002	27	1.0	38	2002	27	1.0	38	2002
28	1.0	38	2040	28	1.0	38	2040	28	1.0	38	2040	28	1.0	38	2040	28	1.0	38	2040	28	1.0	38	2040	28	1.0	38	2040	28	1.0	38	2040
29	1.0	57	2097	29	1.0	57	2097	29	1.0	57	2097	29	1.0	57	2097	29	1.0	57	2097	29	1.0	57	2097	29	1.0	57	2097	29	1.0	57	2097
30	1.0	24	2121	30	1.0	24	2121	30	1.0	24	2121	30	1.0	24	2121	30	1.0	24	2121	30	1.0	24	2121	30	1.0	24	2121	30	1.0	24	2121
31	1.0	23	2144	31	1.0	23	2144	31	1.0	23	2144	31	1.0	23	2144	31	1.0	23	2144	31	1.0	23	2144	31	1.0	23	2144	31	1.0	23	2144
32	1.0	25	2169	32	1.0	25	2169	32	1.0	25	2169	32	1.0	25	2169	32	1.0	25	2169	32	1.0	25	2169	32	1.0	25	2169	32	1.0	25	2169
33	1.0	21	2190	33	1.0	21	2190	33	1.0	21	2190	33	1.0	21	2190	33	1.0	21	2190	33	1.0	21	2190	33	1.0	21	2190	33	1.0	21	2190
34	1.0	27	2217	34	1.0	27	2217	34	1.0	27	2217	34	1.0	27	2217	34	1.0	27	2217	34	1.0	27	2217	34	1.0	27	2217	34	1.0	27	2217
35	1.0	23	2240	35	1.0	23	2240	35	1.0	23	2240	35	1.0	23	2240	35	1.0	23	2240	35	1.0	23	2240	35	1.0	23	2240	35	1.0	23	2240
36	1.0	24	2264	36	1.0	24	2264	36	1.0	24	2264	36	1.0	24	2264	36	1.0	24	2264	36	1.0	24	2264	36	1.0	24	2264	36	1.0	24	2264
37	1.0	26	2290	37	1.0	26	2290	37	1.0	26	2290	37	1.0	26	2290	37	1.0	26	2290	37	1.0	26	2290	37	1.0	26	2290	37	1.0	26	2290
38	1.0	25	2315	38	1.0	25	2315	38	1.0	25	2315	38	1.0	25	2315	38	1.0	25	2315	38	1.0	25	2315	38	1.0	25	2315	38	1.0	25	2315
39	1.0	21	2336	39	1.0	21	2336	39	1.0	21	2336	39	1.0	21	2336	39	1.0	21	2336	39	1.0	21	2336	39	1.0	21	2336	39	1.0	21	2336
40	1.0	23	2359	40	1.0	23	2359	40	1.0	23	2359	40	1.0	23	2359	40	1.0	23	2359	40	1.0	23	2359	40	1.0	23	2359	40	1.0	23	2359
41	1.0	37	2396	41	1.0	37	2396	41	1.0	37	2396	41	1.0	37	2396	41	1.0	37	2396	41	1.0	37	2396	41	1.0	37	2396	41	1.0	37	2396
42	1.0	23	2419	42	1.0	23	2419	42	1.0	23	2419	42	1.0	23	2419	42	1.0	23	2419	42	1.0	23	2419	42	1.0	23	2419	42	1.0	23	2419
43	1.0	28	2447	43	1.0	28	2447	43	1.0	28	2447	43	1.0	28	2447	43	1.0	28	2447	43	1.0	28	2447	43	1.0	28	2447	43	1.0	28	2447
44	1.0	23	2470	44	1.0	23	2470	44	1.0	23	2470	44	1.0	23	2470	44	1.0	23	2470	44	1.0	23	2470	44	1.0	23	2470	44	1.0	23	2470
45	1.0	20	2490	45	1.0	20	2490	45	1.0	20	2490	45	1.0	20	2490	45	1.0	20	2490	45	1.0	20	2490	45	1.0	20	2490	45	1.0	20	2490
46	1.0	24	2514	46	1.0	24	2514	46	1.0	24	2514	46	1.0	24	2514	46	1.0	24	2514	46	1.0	24	2514	46	1.0	24	2514	46	1.0	24	2514
47	1.0	25	2539	47	1.0	25	2539	47	1.0	25	2539	47	1.0	25	2539	47	1.0	25	2539	47	1.0	25	2539	47	1.0	25	2539	47	1.0	25	2539
48	1.0	22	2561	48	1.0	22	2561	48	1.0	22	2561	48	1.0	22	2561	48	1.0	22	2561	48	1.0	22	2561	48	1.0	22	2561	48	1.0	22	2561
49	1.0	19	2580	49	1.0	19	2580	49	1.0	19	2580	49	1.0	19	2580	49	1.0	19	2580	49	1.0	19	2580	49	1.0	19	2580	49	1.0	19	2580
