Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1001	308	308	0	-1001	308	308
1	-1321	529	837	1	-1321	529	837
2	-299	200	1037	2	-299	200	1037
3	-142	142	1179	3	-142	142	1179
4	-244	145	1324	4	-244	145	1324
5	-171	72	1396	5	-171	72	1396
6	-137	137	1533	6	-137	137	1533
7	-467	170	1703	7	-467	170	1703
8	-56	56	1759	8	-56	56	1759
9	-297	198	1957	9	-297	198	1957
10	-288	90	2047	10	-288	90	2047
11	-370	172	2219	11	-370	172	2219
12	-90	90	2309	12	-90	90	2309
13	-70	70	2379	13	-70	70	2379
14	-64	64	2443	14	-64	64	2443
15	-46	46	2489	15	-46	46	2489
16	-107	107	2596	16	-107	107	2596
17	-86	86	2682	17	-86	86	2682
18	-196	97	2779	18	-196	97	2779
19	-65	65	2844	19	-65	65	2844
20	-37	37	2881	20	-37	37	2881
21	-57	57	2938	21	-57	57	2938
22	-53	53	2991	22	-53	53	2991
23	-267	69	3060	23	-267	69	3060
24	-31	31	3091	24	-31	31	3091
25	-159	60	3151	25	-159	60	3151
26	-69	69	3220	26	-69	69	3220
27	-49	49	3269	27	-49	49	3269
28	-164	65	3334	28	-164	65	3334
29	-25	25	3359	29	-25	25	3359
30	-36	36	3395	30	-36	36	3395
31	-56	56	3451	31	-56	56	3451
32	-27	27	3478	32	-27	27	3478
33	-31	31	3509	33	-31	31	3509
34	-144	45	3554	34	-144	45	3554
35	-29	29	3583	35	-29	29	3583
36	-45	45	3628	36	-45	45	3628
37	-528	132	3760	37	-528	132	3760
38	-23	23	3783	38	-23	23	3783
39	-41	41	3824	39	-41	41	3824
40	-37	37	3861	40	-37	37	3861
41	-31	31	3892	41	-31	31	3892
42	-26	26	3918	42	-26	26	3918
43	-35	35	3953	43	-35	35	3953
44	-130	31	3984	44	-130	31	3984
45	-26	26	4010	45	-26	26	4010
46	-34	34	4044	46	-34	34	4044
47	-49	49	4093	47	-49	49	4093
48	-21	21	4114	48	-21	21	4114
49	-37	37	4151	49	-37	37	4151
50	-25	25	4176	50	-25	25	4176
51	-33	33	4209	51	-33	33	4209
52	-17	17	4226	52	-17	17	4226
53	-31	31	4257	53	-31	31	4257
54	-34	34	4291	54	-34	34	4291
55	-51	51	4342	55	-51	51	4342
56	-31	31	4373	56	-31	31	4373
57	-41	41	4414	57	-41	41	4414
58	-19	19	4433	58	-19	19	4433
59	-122	23	4456	59	-122	23	4456
60	-33	33	4489	60	-33	33	4489
61	-30	30	4519	61	-30	30	4519
62	-26	26	4545	62	-26	26	4545
