Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257	10	-17	17	1257
11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277	11	-20	20	1277
12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295	12	-18	18	1295
13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313	13	-18	18	1313
14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330	14	-17	17	1330
15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351	15	-21	21	1351
16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397	16	-145	46	1397
17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450	17	-251	53	1450
18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469	18	-19	19	1469
19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489	19	-119	20	1489
20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508	20	-19	19	1508
21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530	21	-22	22	1530
22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547	22	-17	17	1547
23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617	23	-70	70	1617
24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680	24	-162	63	1680
25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711	25	-31	31	1711
26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748	26	-37	37	1748
27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771	27	-122	23	1771
28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789	28	-117	18	1789
29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807	29	-18	18	1807
30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826	30	-19	19	1826
31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843	31	-17	17	1843
32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861	32	-18	18	1861
33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878	33	-17	17	1878
34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902	34	-24	24	1902
35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922	35	-119	20	1922
36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942	36	-119	20	1942
37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959	37	-17	17	1959
