Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495	10	-110	110	1495
11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546	11	-51	51	1546
12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596	12	-50	50	1596
13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643	13	-47	47	1643
14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775	14	-429	132	1775
15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834	15	-59	59	1834
16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873	16	-39	39	1873
17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920	17	-47	47	1920
18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962	18	-141	42	1962
19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017	19	-55	55	2017
20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049	20	-32	32	2049
21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078	21	-29	29	2078
22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123	22	-45	45	2123
23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157	23	-34	34	2157
24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193	24	-36	36	2193
25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220	25	-27	27	2220
26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260	26	-40	40	2260
27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290	27	-30	30	2290
28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327	28	-37	37	2327
29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352	29	-25	25	2352
30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399	30	-47	47	2399
31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433	31	-34	34	2433
32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459	32	-26	26	2459
33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486	33	-27	27	2486
34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515	34	-29	29	2515
35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592	35	-77	77	2592
36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655	36	-63	63	2655
37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694	37	-138	39	2694
38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713	38	-19	19	2713
39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734	39	-21	21	2734
