Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491	10	-13	13	491
11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505	11	-14	14	505
12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518	12	-13	13	518
13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537	13	-19	19	537
14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557	14	-119	20	557
15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570	15	-13	13	570
16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593	16	-122	23	593
17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606	17	-13	13	606
18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619	18	-13	13	619
19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632	19	-13	13	632
20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661	20	-128	29	661
21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674	21	-13	13	674
22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692	22	-117	18	692
23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705	23	-13	13	705
24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718	24	-13	13	718
25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731	25	-13	13	731
26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763	26	-230	32	763
27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776	27	-13	13	776
28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789	28	-13	13	789
29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802	29	-13	13	802
30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821	30	-19	19	821
31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834	31	-13	13	834
32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851	32	-17	17	851
33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868	33	-17	17	868
34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884	34	-16	16	884
35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897	35	-13	13	897
36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932	36	-233	35	932
37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945	37	-13	13	945
38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958	38	-13	13	958
39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980	39	-319	22	980
40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995	40	-15	15	995
41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010	41	-15	15	1010
42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023	42	-13	13	1023
43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036	43	-13	13	1036
44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049	44	-13	13	1049
45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066	45	-17	17	1066
