Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2261	776	776	0	-2261	776	776
1	-398	299	1075	1	-398	299	1075
2	-928	433	1508	2	-928	433	1508
3	-863	566	2074	3	-863	566	2074
4	-251	152	2226	4	-251	152	2226
5	-766	469	2695	5	-766	469	2695
6	-526	328	3023	6	-526	328	3023
7	-440	242	3265	7	-440	242	3265
8	-131	131	3396	8	-131	131	3396
9	-368	170	3566	9	-368	170	3566
10	-89	89	3655	10	-89	89	3655
11	-632	434	4089	11	-632	434	4089
12	-115	115	4204	12	-115	115	4204
13	-119	119	4323	13	-119	119	4323
14	-714	417	4740	14	-714	417	4740
15	-113	113	4853	15	-113	113	4853
16	-181	181	5034	16	-181	181	5034
17	-229	130	5164	17	-229	130	5164
18	-132	132	5296	18	-132	132	5296
19	-103	103	5399	19	-103	103	5399
20	-593	296	5695	20	-593	296	5695
21	-161	161	5856	21	-161	161	5856
22	-364	265	6121	22	-364	265	6121
23	-88	88	6209	23	-88	88	6209
24	-149	149	6358	24	-149	149	6358
25	-37	37	6395	25	-37	37	6395
26	-313	115	6510	26	-313	115	6510
27	-86	86	6596	27	-86	86	6596
28	-87	87	6683	28	-87	87	6683
29	-184	85	6768	29	-184	85	6768
30	-224	125	6893	30	-224	125	6893
31	-145	46	6939	31	-145	46	6939
32	-279	180	7119	32	-279	180	7119
33	-31	31	7150	33	-31	31	7150
34	-89	89	7239	34	-89	89	7239
35	-117	117	7356	35	-117	117	7356
36	-80	80	7436	36	-80	80	7436
37	-84	84	7520	37	-84	84	7520
38	-99	99	7619	38	-99	99	7619
39	-61	61	7680	39	-61	61	7680
40	-288	189	7869	40	-288	189	7869
41	-45	45	7914	41	-45	45	7914
42	-38	38	7952	42	-38	38	7952
43	-466	169	8121	43	-466	169	8121
44	-94	94	8215	44	-94	94	8215
45	-295	97	8312	45	-295	97	8312
46	-208	109	8421	46	-208	109	8421
47	-62	62	8483	47	-62	62	8483
48	-81	81	8564	48	-81	81	8564
49	-87	87	8651	49	-87	87	8651
50	-106	106	8757	50	-106	106	8757
51	-70	70	8827	51	-70	70	8827
52	-188	89	8916	52	-188	89	8916
53	-112	112	9028	53	-112	112	9028
54	-58	58	9086	54	-58	58	9086
55	-88	88	9174	55	-88	88	9174
56	-187	88	9262	56	-187	88	9262
57	-39	39	9301	57	-39	39	9301
58	-98	98	9399	58	-98	98	9399
59	-29	29	9428	59	-29	29	9428
60	-72	72	9500	60	-72	72	9500
61	-110	110	9610	61	-110	110	9610
62	-53	53	9663	62	-53	53	9663
63	-50	50	9713	63	-50	50	9713
64	-32	32	9745	64	-32	32	9745
65	-86	86	9831	65	-86	86	9831
66	-200	101	9932	66	-200	101	9932
67	-73	73	10005	67	-73	73	10005
68	-73	73	10078	68	-73	73	10078
69	-349	151	10229	69	-349	151	10229
70	-62	62	10291	70	-62	62	10291
71	-67	67	10358	71	-67	67	10358
72	-39	39	10397	72	-39	39	10397
73	-234	135	10532	73	-234	135	10532
74	-66	66	10598	74	-66	66	10598
75	-37	37	10635	75	-37	37	10635
76	-225	126	10761	76	-225	126	10761
77	-280	181	10942	77	-280	181	10942
78	-75	75	11017	78	-75	75	11017
79	-55	55	11072	79	-55	55	11072
80	-34	34	11106	80	-34	34	11106
81	-386	188	11294	81	-386	188	11294
82	-35	35	11329	82	-35	35	11329
83	-61	61	11390	83	-61	61	11390
84	-440	143	11533	84	-440	143	11533
85	-51	51	11584	85	-51	51	11584
86	-67	67	11651	86	-67	67	11651
87	-122	122	11773	87	-122	122	11773
88	-91	91	11864	88	-91	91	11864
89	-33	33	11897	89	-33	33	11897
90	-79	79	11976	90	-79	79	11976
91	-151	52	12028	91	-151	52	12028
92	-196	97	12125	92	-196	97	12125
93	-68	68	12193	93	-68	68	12193
94	-61	61	12254	94	-61	61	12254
95	-43	43	12297	95	-43	43	12297
96	-449	152	12449	96	-449	152	12449
97	-33	33	12482	97	-33	33	12482
98	-78	78	12560	98	-78	78	12560
99	-185	86	12646	99	-185	86	12646
100	-51	51	12697	100	-51	51	12697
101	-325	127	12824	101	-325	127	12824
102	-164	65	12889	102	-164	65	12889
103	-35	35	12924	103	-35	35	12924
104	-70	70	12994	104	-70	70	12994
105	-49	49	13043	105	-49	49	13043
106	-63	63	13106	106	-63	63	13106
107	-39	39	13145	107	-39	39	13145
108	-56	56	13201	108	-56	56	13201
109	-47	47	13248	109	-47	47	13248
110	-222	123	13371	110	-222	123	13371
111	-36	36	13407	111	-36	36	13407
112	-184	85	13492	112	-184	85	13492
113	-31	31	13523	113	-31	31	13523
114	-68	68	13591	114	-68	68	13591
115	-35	35	13626	115	-35	35	13626
116	-36	36	13662	116	-36	36	13662
117	-91	91	13753	117	-91	91	13753
118	-195	96	13849	118	-195	96	13849
119	-54	54	13903	119	-54	54	13903
120	-65	65	13968	120	-65	65	13968
121	-33	33	14001	121	-33	33	14001
122	-33	33	14034	122	-33	33	14034
123	-41	41	14075	123	-41	41	14075
124	-89	89	14164	124	-89	89	14164
125	-32	32	14196	125	-32	32	14196
126	-40	40	14236	126	-40	40	14236
