Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469	10	-15	15	469
11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485	11	-16	16	485
12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498	12	-13	13	498
13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511	13	-13	13	511
14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526	14	-15	15	526
15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544	15	-117	18	544
16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561	16	-17	17	561
17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576	17	-15	15	576
18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591	18	-15	15	591
19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626	19	-233	35	626
20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640	20	-14	14	640
21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670	21	-327	30	670
22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694	22	-123	24	694
23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707	23	-13	13	707
24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720	24	-13	13	720
25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737	25	-17	17	737
26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750	26	-13	13	750
27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764	27	-14	14	764
28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777	28	-13	13	777
29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807	29	-228	30	807
30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830	30	-122	23	830
31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847	31	-17	17	847
32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873	32	-125	26	873
33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889	33	-115	16	889
34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902	34	-13	13	902
35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915	35	-13	13	915
36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932	36	-17	17	932
37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947	37	-15	15	947
38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974	38	-126	27	974
39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989	39	-15	15	989
40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004	40	-15	15	1004
41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023	41	-118	19	1023
42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047	42	-123	24	1047
43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069	43	-121	22	1069
44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086	44	-17	17	1086
45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101	45	-15	15	1101
46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122	46	-120	21	1122
47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137	47	-15	15	1137
48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153	48	-16	16	1153
49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167	49	-14	14	1167
