Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
12	1.0	28	1191	12	1.0	28	1191	12	1.0	28	1191	12	1.0	28	1191	12	1.0	28	1191	12	1.0	28	1191	12	1.0	28	1191	12	1.0	28	1191	12	1.0	28	1191	12	1.0	28	1191	12	1.0	28	1191	12	1.0	28	1191	12	1.0	28	1191
13	1.0	36	1227	13	1.0	36	1227	13	1.0	36	1227	13	1.0	36	1227	13	1.0	36	1227	13	1.0	36	1227	13	1.0	36	1227	13	1.0	36	1227	13	1.0	36	1227	13	1.0	36	1227	13	1.0	36	1227	13	1.0	36	1227	13	1.0	36	1227
14	1.0	59	1286	14	1.0	59	1286	14	1.0	59	1286	14	1.0	59	1286	14	1.0	59	1286	14	1.0	59	1286	14	1.0	59	1286	14	1.0	59	1286	14	1.0	59	1286	14	1.0	59	1286	14	1.0	59	1286	14	1.0	59	1286	14	1.0	59	1286
15	1.0	25	1311	15	1.0	25	1311	15	1.0	25	1311	15	1.0	25	1311	15	1.0	25	1311	15	1.0	25	1311	15	1.0	25	1311	15	1.0	25	1311	15	1.0	25	1311	15	1.0	25	1311	15	1.0	25	1311	15	1.0	25	1311	15	1.0	25	1311
16	1.0	26	1337	16	1.0	26	1337	16	1.0	26	1337	16	1.0	26	1337	16	1.0	26	1337	16	1.0	26	1337	16	1.0	26	1337	16	1.0	26	1337	16	1.0	26	1337	16	1.0	26	1337	16	1.0	26	1337	16	1.0	26	1337	16	1.0	26	1337
17	1.0	23	1360	17	1.0	23	1360	17	1.0	23	1360	17	1.0	23	1360	17	1.0	23	1360	17	1.0	23	1360	17	1.0	23	1360	17	1.0	23	1360	17	1.0	23	1360	17	1.0	23	1360	17	1.0	23	1360	17	1.0	23	1360	17	1.0	23	1360
18	1.0	22	1382	18	1.0	22	1382	18	1.0	22	1382	18	1.0	22	1382	18	1.0	22	1382	18	1.0	22	1382	18	1.0	22	1382	18	1.0	22	1382	18	1.0	22	1382	18	1.0	22	1382	18	1.0	22	1382	18	1.0	22	1382	18	1.0	22	1382
19	1.0	25	1407	19	1.0	25	1407	19	1.0	25	1407	19	1.0	25	1407	19	1.0	25	1407	19	1.0	25	1407	19	1.0	25	1407	19	1.0	25	1407	19	1.0	25	1407	19	1.0	25	1407	19	1.0	25	1407	19	1.0	25	1407	19	1.0	25	1407
20	1.0	44	1451	20	1.0	44	1451	20	1.0	44	1451	20	1.0	44	1451	20	1.0	44	1451	20	1.0	44	1451	20	1.0	44	1451	20	1.0	44	1451	20	1.0	44	1451	20	1.0	44	1451	20	1.0	44	1451	20	1.0	44	1451	20	1.0	44	1451
21	1.0	18	1469	21	1.0	18	1469	21	1.0	18	1469	21	1.0	18	1469	21	1.0	18	1469	21	1.0	18	1469	21	1.0	18	1469	21	1.0	18	1469	21	1.0	18	1469	21	1.0	18	1469	21	1.0	18	1469	21	1.0	18	1469	21	1.0	18	1469
22	1.0	27	1496	22	1.0	27	1496	22	1.0	27	1496	22	1.0	27	1496	22	1.0	27	1496	22	1.0	27	1496	22	1.0	27	1496	22	1.0	27	1496	22	1.0	27	1496	22	1.0	27	1496	22	1.0	27	1496	22	1.0	27	1496	22	1.0	27	1496
23	1.0	18	1514	23	1.0	18	1514	23	1.0	18	1514	23	1.0	18	1514	23	1.0	18	1514	23	1.0	18	1514	23	1.0	18	1514	23	1.0	18	1514	23	1.0	18	1514	23	1.0	18	1514	23	1.0	18	1514	23	1.0	18	1514	23	1.0	18	1514
24	1.0	24	1538	24	1.0	24	1538	24	1.0	24	1538	24	1.0	24	1538	24	1.0	24	1538	24	1.0	24	1538	24	1.0	24	1538	24	1.0	24	1538	24	1.0	24	1538	24	1.0	24	1538	24	1.0	24	1538	24	1.0	24	1538	24	1.0	24	1538
25	1.0	23	1561	25	1.0	23	1561	25	1.0	23	1561	25	1.0	23	1561	25	1.0	23	1561	25	1.0	23	1561	25	1.0	23	1561	25	1.0	23	1561	25	1.0	23	1561	25	1.0	23	1561	25	1.0	23	1561	25	1.0	23	1561	25	1.0	23	1561
26	1.0	23	1584	26	1.0	23	1584	26	1.0	23	1584	26	1.0	23	1584	26	1.0	23	1584	26	1.0	23	1584	26	1.0	23	1584	26	1.0	23	1584	26	1.0	23	1584	26	1.0	23	1584	26	1.0	23	1584	26	1.0	23	1584	26	1.0	23	1584
27	1.0	26	1610	27	1.0	26	1610	27	1.0	26	1610	27	1.0	26	1610	27	1.0	26	1610	27	1.0	26	1610	27	1.0	26	1610	27	1.0	26	1610	27	1.0	26	1610	27	1.0	26	1610	27	1.0	26	1610	27	1.0	26	1610	27	1.0	26	1610
28	1.0	18	1628	28	1.0	18	1628	28	1.0	18	1628	28	1.0	18	1628	28	1.0	18	1628	28	1.0	18	1628	28	1.0	18	1628	28	1.0	18	1628	28	1.0	18	1628	28	1.0	18	1628	28	1.0	18	1628	28	1.0	18	1628	28	1.0	18	1628
29	1.0	20	1648	29	1.0	20	1648	29	1.0	20	1648	29	1.0	20	1648	29	1.0	20	1648	29	1.0	20	1648	29	1.0	20	1648	29	1.0	20	1648	29	1.0	20	1648	29	1.0	20	1648	29	1.0	20	1648	29	1.0	20	1648	29	1.0	20	1648
30	1.0	20	1668	30	1.0	20	1668	30	1.0	20	1668	30	1.0	20	1668	30	1.0	20	1668	30	1.0	20	1668	30	1.0	20	1668	30	1.0	20	1668	30	1.0	20	1668	30	1.0	20	1668	30	1.0	20	1668	30	1.0	20	1668	30	1.0	20	1668
31	1.0	20	1688	31	1.0	20	1688	31	1.0	20	1688	31	1.0	20	1688	31	1.0	20	1688	31	1.0	20	1688	31	1.0	20	1688	31	1.0	20	1688	31	1.0	20	1688	31	1.0	20	1688	31	1.0	20	1688	31	1.0	20	1688	31	1.0	20	1688
32	1.0	23	1711	32	1.0	23	1711	32	1.0	23	1711	32	1.0	23	1711	32	1.0	23	1711	32	1.0	23	1711	32	1.0	23	1711	32	1.0	23	1711	32	1.0	23	1711	32	1.0	23	1711	32	1.0	23	1711	32	1.0	23	1711	32	1.0	23	1711
33	1.0	24	1735	33	1.0	24	1735	33	1.0	24	1735	33	1.0	24	1735	33	1.0	24	1735	33	1.0	24	1735	33	1.0	24	1735	33	1.0	24	1735	33	1.0	24	1735	33	1.0	24	1735	33	1.0	24	1735	33	1.0	24	1735	33	1.0	24	1735
34	1.0	23	1758	34	1.0	23	1758	34	1.0	23	1758	34	1.0	23	1758	34	1.0	23	1758	34	1.0	23	1758	34	1.0	23	1758	34	1.0	23	1758	34	1.0	23	1758	34	1.0	23	1758	34	1.0	23	1758	34	1.0	23	1758	34	1.0	23	1758
35	1.0	23	1781	35	1.0	23	1781	35	1.0	23	1781	35	1.0	23	1781	35	1.0	23	1781	35	1.0	23	1781	35	1.0	23	1781	35	1.0	23	1781	35	1.0	23	1781	35	1.0	23	1781	35	1.0	23	1781	35	1.0	23	1781	35	1.0	23	1781
36	1.0	18	1799	36	1.0	18	1799	36	1.0	18	1799	36	1.0	18	1799	36	1.0	18	1799	36	1.0	18	1799	36	1.0	18	1799	36	1.0	18	1799	36	1.0	18	1799	36	1.0	18	1799	36	1.0	18	1799	36	1.0	18	1799	36	1.0	18	1799
37	1.0	20	1819	37	1.0	20	1819	37	1.0	20	1819	37	1.0	20	1819	37	1.0	20	1819	37	1.0	20	1819	37	1.0	20	1819	37	1.0	20	1819	37	1.0	20	1819	37	1.0	20	1819	37	1.0	20	1819	37	1.0	20	1819	37	1.0	20	1819
38	1.0	18	1837	38	1.0	18	1837	38	1.0	18	1837	38	1.0	18	1837	38	1.0	18	1837	38	1.0	18	1837	38	1.0	18	1837	38	1.0	18	1837	38	1.0	18	1837	38	1.0	18	1837	38	1.0	18	1837	38	1.0	18	1837	38	1.0	18	1837
39	1.0	21	1858	39	1.0	21	1858	39	1.0	21	1858	39	1.0	21	1858	39	1.0	21	1858	39	1.0	21	1858	39	1.0	21	1858	39	1.0	21	1858	39	1.0	21	1858	39	1.0	21	1858	39	1.0	21	1858	39	1.0	21	1858	39	1.0	21	1858
40	1.0	19	1877	40	1.0	19	1877	40	1.0	19	1877	40	1.0	19	1877	40	1.0	19	1877	40	1.0	19	1877	40	1.0	19	1877	40	1.0	19	1877	40	1.0	19	1877	40	1.0	19	1877	40	1.0	19	1877	40	1.0	19	1877	40	1.0	19	1877
41	1.0	18	1895	41	1.0	18	1895	41	1.0	18	1895	41	1.0	18	1895	41	1.0	18	1895	41	1.0	18	1895	41	1.0	18	1895	41	1.0	18	1895	41	1.0	18	1895	41	1.0	18	1895	41	1.0	18	1895	41	1.0	18	1895	41	1.0	18	1895
42	1.0	20	1915	42	1.0	20	1915	42	1.0	20	1915	42	1.0	20	1915	42	1.0	20	1915	42	1.0	20	1915	42	1.0	20	1915	42	1.0	20	1915	42	1.0	20	1915	42	1.0	20	1915	42	1.0	20	1915	42	1.0	20	1915	42	1.0	20	1915
43	1.0	21	1936	43	1.0	21	1936	43	1.0	21	1936	43	1.0	21	1936	43	1.0	21	1936	43	1.0	21	1936	43	1.0	21	1936	43	1.0	21	1936	43	1.0	21	1936	43	1.0	21	1936	43	1.0	21	1936	43	1.0	21	1936	43	1.0	21	1936
44	1.0	21	1957	44	1.0	21	1957	44	1.0	21	1957	44	1.0	21	1957	44	1.0	21	1957	44	1.0	21	1957	44	1.0	21	1957	44	1.0	21	1957	44	1.0	21	1957	44	1.0	21	1957	44	1.0	21	1957	44	1.0	21	1957	44	1.0	21	1957
45	1.0	18	1975	45	1.0	18	1975	45	1.0	18	1975	45	1.0	18	1975	45	1.0	18	1975	45	1.0	18	1975	45	1.0	18	1975	45	1.0	18	1975	45	1.0	18	1975	45	1.0	18	1975	45	1.0	18	1975	45	1.0	18	1975	45	1.0	18	1975
46	1.0	19	1994	46	1.0	19	1994	46	1.0	19	1994	46	1.0	19	1994	46	1.0	19	1994	46	1.0	19	1994	46	1.0	19	1994	46	1.0	19	1994	46	1.0	19	1994	46	1.0	19	1994	46	1.0	19	1994	46	1.0	19	1994	46	1.0	19	1994
47	1.0	21	2015	47	1.0	21	2015	47	1.0	21	2015	47	1.0	21	2015	47	1.0	21	2015	47	1.0	21	2015	47	1.0	21	2015	47	1.0	21	2015	47	1.0	21	2015	47	1.0	21	2015	47	1.0	21	2015	47	1.0	21	2015	47	1.0	21	2015
48	1.0	23	2038	48	1.0	23	2038	48	1.0	23	2038	48	1.0	23	2038	48	1.0	23	2038	48	1.0	23	2038	48	1.0	23	2038	48	1.0	23	2038	48	1.0	23	2038	48	1.0	23	2038	48	1.0	23	2038	48	1.0	23	2038	48	1.0	23	2038
49	1.0	20	2058	49	1.0	20	2058	49	1.0	20	2058	49	1.0	20	2058	49	1.0	20	2058	49	1.0	20	2058	49	1.0	20	2058	49	1.0	20	2058	49	1.0	20	2058	49	1.0	20	2058	49	1.0	20	2058	49	1.0	20	2058	49	1.0	20	2058
