Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	558	558	0	1.0	558	558	0	1.0	558	558	0	1.0	558	558	0	1.0	558	558
1	1.0	43	601	1	1.0	43	601	1	1.0	43	601	1	1.0	43	601	1	1.0	43	601
2	1.0	17	618	2	1.0	17	618	2	1.0	17	618	2	1.0	17	618	2	1.0	17	618
3	1.0	15	633	3	1.0	15	633	3	1.0	15	633	3	1.0	15	633	3	1.0	15	633
4	1.0	19	652	4	1.0	19	652	4	1.0	19	652	4	1.0	19	652	4	1.0	19	652
5	1.0	14	666	5	1.0	14	666	5	1.0	14	666	5	1.0	14	666	5	1.0	14	666
6	1.0	14	680	6	1.0	14	680	6	1.0	14	680	6	1.0	14	680	6	1.0	14	680
7	1.0	15	695	7	1.0	15	695	7	1.0	15	695	7	1.0	15	695	7	1.0	15	695
8	1.0	21	716	8	1.0	21	716	8	1.0	21	716	8	1.0	21	716	8	1.0	21	716
9	1.0	18	734	9	1.0	18	734	9	1.0	18	734	9	1.0	18	734	9	1.0	18	734
10	1.0	14	748	10	1.0	14	748	10	1.0	14	748	10	1.0	14	748	10	1.0	14	748
11	1.0	16	764	11	1.0	16	764	11	1.0	16	764	11	1.0	16	764	11	1.0	16	764
12	1.0	14	778	12	1.0	14	778	12	1.0	14	778	12	1.0	14	778	12	1.0	14	778
13	1.0	14	792	13	1.0	14	792	13	1.0	14	792	13	1.0	14	792	13	1.0	14	792
14	1.0	14	806	14	1.0	14	806	14	1.0	14	806	14	1.0	14	806	14	1.0	14	806
15	1.0	14	820	15	1.0	14	820	15	1.0	14	820	15	1.0	14	820	15	1.0	14	820
16	1.0	19	839	16	1.0	19	839	16	1.0	19	839	16	1.0	19	839	16	1.0	19	839
17	1.0	16	855	17	1.0	16	855	17	1.0	16	855	17	1.0	16	855	17	1.0	16	855
18	1.0	22	877	18	1.0	22	877	18	1.0	22	877	18	1.0	22	877	18	1.0	22	877
19	1.0	16	893	19	1.0	16	893	19	1.0	16	893	19	1.0	16	893	19	1.0	16	893
20	1.0	20	913	20	1.0	20	913	20	1.0	20	913	20	1.0	20	913	20	1.0	20	913
21	1.0	14	927	21	1.0	14	927	21	1.0	14	927	21	1.0	14	927	21	1.0	14	927
22	1.0	15	942	22	1.0	15	942	22	1.0	15	942	22	1.0	15	942	22	1.0	15	942
23	1.0	14	956	23	1.0	14	956	23	1.0	14	956	23	1.0	14	956	23	1.0	14	956
24	1.0	15	971	24	1.0	15	971	24	1.0	15	971	24	1.0	15	971	24	1.0	15	971
25	1.0	15	986	25	1.0	15	986	25	1.0	15	986	25	1.0	15	986	25	1.0	15	986
26	1.0	14	1000	26	1.0	14	1000	26	1.0	14	1000	26	1.0	14	1000	26	1.0	14	1000
27	1.0	16	1016	27	1.0	16	1016	27	1.0	16	1016	27	1.0	16	1016	27	1.0	16	1016
28	1.0	18	1034	28	1.0	18	1034	28	1.0	18	1034	28	1.0	18	1034	28	1.0	18	1034
29	1.0	18	1052	29	1.0	18	1052	29	1.0	18	1052	29	1.0	18	1052	29	1.0	18	1052
30	1.0	15	1067	30	1.0	15	1067	30	1.0	15	1067	30	1.0	15	1067	30	1.0	15	1067
31	1.0	14	1081	31	1.0	14	1081	31	1.0	14	1081	31	1.0	14	1081	31	1.0	14	1081
32	1.0	14	1095	32	1.0	14	1095	32	1.0	14	1095	32	1.0	14	1095	32	1.0	14	1095
33	1.0	18	1113	33	1.0	18	1113	33	1.0	18	1113	33	1.0	18	1113	33	1.0	18	1113
34	1.0	20	1133	34	1.0	20	1133	34	1.0	20	1133	34	1.0	20	1133	34	1.0	20	1133
35	1.0	16	1149	35	1.0	16	1149	35	1.0	16	1149	35	1.0	16	1149	35	1.0	16	1149
36	1.0	14	1163	36	1.0	14	1163	36	1.0	14	1163	36	1.0	14	1163	36	1.0	14	1163
37	1.0	18	1181	37	1.0	18	1181	37	1.0	18	1181	37	1.0	18	1181	37	1.0	18	1181
38	1.0	16	1197	38	1.0	16	1197	38	1.0	16	1197	38	1.0	16	1197	38	1.0	16	1197
39	1.0	18	1215	39	1.0	18	1215	39	1.0	18	1215	39	1.0	18	1215	39	1.0	18	1215
40	1.0	14	1229	40	1.0	14	1229	40	1.0	14	1229	40	1.0	14	1229	40	1.0	14	1229
41	1.0	19	1248	41	1.0	19	1248	41	1.0	19	1248	41	1.0	19	1248	41	1.0	19	1248
42	1.0	14	1262	42	1.0	14	1262	42	1.0	14	1262	42	1.0	14	1262	42	1.0	14	1262
43	1.0	15	1277	43	1.0	15	1277	43	1.0	15	1277	43	1.0	15	1277	43	1.0	15	1277
44	1.0	14	1291	44	1.0	14	1291	44	1.0	14	1291	44	1.0	14	1291	44	1.0	14	1291
45	1.0	14	1305	45	1.0	14	1305	45	1.0	14	1305	45	1.0	14	1305	45	1.0	14	1305
46	1.0	18	1323	46	1.0	18	1323	46	1.0	18	1323	46	1.0	18	1323	46	1.0	18	1323
47	1.0	15	1338	47	1.0	15	1338	47	1.0	15	1338	47	1.0	15	1338	47	1.0	15	1338
48	1.0	16	1354	48	1.0	16	1354	48	1.0	16	1354	48	1.0	16	1354	48	1.0	16	1354
49	1.0	16	1370	49	1.0	16	1370	49	1.0	16	1370	49	1.0	16	1370	49	1.0	16	1370
