Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569	10	-21	21	4569
11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608	11	-138	39	4608
12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630	12	-22	22	4630
13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682	13	-151	52	4682
14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719	14	-136	37	4719
15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742	15	-23	23	4742
16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767	16	-25	25	4767
17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788	17	-21	21	4788
18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817	18	-29	29	4817
19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839	19	-22	22	4839
20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862	20	-23	23	4862
21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887	21	-25	25	4887
22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906	22	-19	19	4906
23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929	23	-23	23	4929
24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954	24	-25	25	4954
25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990	25	-36	36	4990
26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026	26	-135	36	5026
27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048	27	-121	22	5048
28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072	28	-24	24	5072
29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096	29	-24	24	5096
30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146	30	-50	50	5146
31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169	31	-23	23	5169
