Episode	Accumulated Reward	Length	Steps
318	-22	22	9796
319	-18	18	9814
320	-20	20	9834
321	-23	23	9857
322	-17	17	9874
323	-24	24	9898
324	-18	18	9916
325	-19	19	9935
326	-17	17	9952
327	-17	17	9969
328	-19	19	9988
329	-18	18	10006
330	-21	21	10027
331	-21	21	10048
332	-23	23	10071
333	-21	21	10092
334	-17	17	10109
335	-20	20	10129
336	-18	18	10147
337	-21	21	10168
338	-23	23	10191
339	-117	18	10209
340	-17	17	10226
341	-17	17	10243
342	-17	17	10260
343	-18	18	10278
344	-17	17	10295
345	-17	17	10312
346	-21	21	10333
347	-19	19	10352
348	-17	17	10369
349	-21	21	10390
350	-18	18	10408
351	-17	17	10425
352	-19	19	10444
353	-18	18	10462
354	-20	20	10482
355	-117	18	10500
356	-17	17	10517
357	-18	18	10535
358	-25	25	10560
359	-25	25	10585
360	-19	19	10604
361	-17	17	10621
362	-19	19	10640
363	-17	17	10657
364	-17	17	10674
365	-20	20	10694
366	-21	21	10715
367	-23	23	10738
368	-21	21	10759
369	-21	21	10780
370	-17	17	10797
371	-18	18	10815
372	-21	21	10836
373	-19	19	10855
374	-19	19	10874
375	-19	19	10893
376	-19	19	10912
377	-120	21	10933
378	-20	20	10953
379	-17	17	10970
380	-22	22	10992
381	-22	22	11014
382	-26	26	11040
383	-19	19	11059
384	-20	20	11079
385	-17	17	11096
386	-18	18	11114
387	-20	20	11134
388	-123	24	11158
389	-20	20	11178
390	-25	25	11203
391	-19	19	11222
392	-21	21	11243
393	-17	17	11260
394	-121	22	11282
395	-19	19	11301
396	-19	19	11320
397	-17	17	11337
398	-124	25	11362
399	-19	19	11381
400	-23	23	11404
401	-23	23	11427
402	-19	19	11446
403	-17	17	11463
404	-19	19	11482
405	-121	22	11504
406	-20	20	11524
407	-23	23	11547
408	-19	19	11566
409	-19	19	11585
410	-17	17	11602
411	-18	18	11620
412	-17	17	11637
413	-17	17	11654
414	-19	19	11673
415	-19	19	11692
416	-17	17	11709
417	-17	17	11726
418	-20	20	11746
419	-17	17	11763
420	-17	17	11780
421	-20	20	11800
422	-24	24	11824
423	-17	17	11841
424	-17	17	11858
425	-17	17	11875
426	-20	20	11895
427	-20	20	11915
428	-23	23	11938
429	-17	17	11955
430	-17	17	11972
431	-19	19	11991
432	-17	17	12008
433	-17	17	12025
434	-17	17	12042
435	-21	21	12063
436	-19	19	12082
437	-17	17	12099
438	-19	19	12118
439	-21	21	12139
440	-21	21	12160
441	-17	17	12177
442	-17	17	12194
443	-17	17	12211
444	-19	19	12230
445	-25	25	12255
446	-22	22	12277
447	-17	17	12294
448	-21	21	12315
449	-21	21	12336
450	-21	21	12357
451	-133	34	12391
452	-22	22	12413
453	-17	17	12430
454	-22	22	12452
455	-20	20	12472
456	-18	18	12490
457	-19	19	12509
458	-23	23	12532
459	-17	17	12549
460	-18	18	12567
461	-19	19	12586
462	-17	17	12603
463	-20	20	12623
464	-18	18	12641
465	-18	18	12659
466	-20	20	12679
467	-17	17	12696
468	-18	18	12714
469	-18	18	12732
470	-17	17	12749
471	-19	19	12768
472	-20	20	12788
473	-19	19	12807
474	-26	26	12833
475	-17	17	12850
476	-21	21	12871
477	-17	17	12888
478	-19	19	12907
479	-17	17	12924
480	-25	25	12949
481	-24	24	12973
482	-19	19	12992
483	-118	19	13011
484	-17	17	13028
485	-20	20	13048
486	-19	19	13067
487	-17	17	13084
488	-22	22	13106
489	-18	18	13124
490	-21	21	13145
491	-19	19	13164
492	-23	23	13187
493	-17	17	13204
494	-20	20	13224
495	-20	20	13244
496	-17	17	13261
497	-120	21	13282
498	-18	18	13300
499	-18	18	13318
