Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
131	-109.0	109	18534	131	-109.0	109	18534
132	-100.0	100	18634	132	-100.0	100	18634
133	-174.0	174	18808	133	-174.0	174	18808
134	-109.0	109	18917	134	-109.0	109	18917
135	-109.0	109	19026	135	-109.0	109	19026
136	-88.0	88	19114	136	-88.0	88	19114
137	-109.0	109	19223	137	-109.0	109	19223
138	-91.0	91	19314	138	-91.0	91	19314
139	-92.0	92	19406	139	-92.0	92	19406
140	-107.0	107	19513	140	-107.0	107	19513
141	-87.0	87	19600	141	-87.0	87	19600
142	-108.0	108	19708	142	-108.0	108	19708
143	-92.0	92	19800	143	-92.0	92	19800
144	-84.0	84	19884	144	-84.0	84	19884
145	-101.0	101	19985	145	-101.0	101	19985
146	-157.0	157	20142	146	-157.0	157	20142
147	-107.0	107	20249	147	-107.0	107	20249
148	-87.0	87	20336	148	-87.0	87	20336
149	-108.0	108	20444	149	-108.0	108	20444
150	-84.0	84	20528	150	-84.0	84	20528
151	-109.0	109	20637	151	-109.0	109	20637
152	-110.0	110	20747	152	-110.0	110	20747
153	-84.0	84	20831	153	-84.0	84	20831
154	-92.0	92	20923	154	-92.0	92	20923
155	-85.0	85	21008	155	-85.0	85	21008
156	-163.0	163	21171	156	-163.0	163	21171
157	-91.0	91	21262	157	-91.0	91	21262
158	-93.0	93	21355	158	-93.0	93	21355
159	-108.0	108	21463	159	-108.0	108	21463
160	-104.0	104	21567	160	-104.0	104	21567
161	-107.0	107	21674	161	-107.0	107	21674
162	-108.0	108	21782	162	-108.0	108	21782
163	-107.0	107	21889	163	-107.0	107	21889
164	-84.0	84	21973	164	-84.0	84	21973
165	-108.0	108	22081	165	-108.0	108	22081
166	-84.0	84	22165	166	-84.0	84	22165
167	-107.0	107	22272	167	-107.0	107	22272
168	-102.0	102	22374	168	-102.0	102	22374
169	-86.0	86	22460	169	-86.0	86	22460
170	-89.0	89	22549	170	-89.0	89	22549
171	-107.0	107	22656	171	-107.0	107	22656
172	-89.0	89	22745	172	-89.0	89	22745
173	-108.0	108	22853	173	-108.0	108	22853
174	-108.0	108	22961	174	-108.0	108	22961
175	-110.0	110	23071	175	-110.0	110	23071
176	-107.0	107	23178	176	-107.0	107	23178
177	-109.0	109	23287	177	-109.0	109	23287
178	-86.0	86	23373	178	-86.0	86	23373
179	-88.0	88	23461	179	-88.0	88	23461
180	-86.0	86	23547	180	-86.0	86	23547
181	-171.0	171	23718	181	-171.0	171	23718
182	-107.0	107	23825	182	-107.0	107	23825
183	-104.0	104	23929	183	-104.0	104	23929
184	-108.0	108	24037	184	-108.0	108	24037
185	-84.0	84	24121	185	-84.0	84	24121
186	-145.0	145	24266	186	-145.0	145	24266
187	-108.0	108	24374	187	-108.0	108	24374
188	-85.0	85	24459	188	-85.0	85	24459
189	-107.0	107	24566	189	-107.0	107	24566
190	-85.0	85	24651	190	-85.0	85	24651
191	-109.0	109	24760	191	-109.0	109	24760
192	-89.0	89	24849	192	-89.0	89	24849
193	-91.0	91	24940	193	-91.0	91	24940
194	-107.0	107	25047	194	-107.0	107	25047
195	-108.0	108	25155	195	-108.0	108	25155
196	-108.0	108	25263	196	-108.0	108	25263
197	-105.0	105	25368	197	-105.0	105	25368
198	-109.0	109	25477	198	-109.0	109	25477
199	-107.0	107	25584	199	-107.0	107	25584
200	-91.0	91	25675	200	-91.0	91	25675
201	-87.0	87	25762	201	-87.0	87	25762
202	-94.0	94	25856	202	-94.0	94	25856
203	-116.0	116	25972	203	-116.0	116	25972
204	-91.0	91	26063	204	-91.0	91	26063
205	-85.0	85	26148	205	-85.0	85	26148
206	-105.0	105	26253	206	-105.0	105	26253
207	-108.0	108	26361	207	-108.0	108	26361
208	-108.0	108	26469	208	-108.0	108	26469
209	-108.0	108	26577	209	-108.0	108	26577
210	-106.0	106	26683	210	-106.0	106	26683
211	-87.0	87	26770	211	-87.0	87	26770
212	-109.0	109	26879	212	-109.0	109	26879
213	-106.0	106	26985	213	-106.0	106	26985
214	-90.0	90	27075	214	-90.0	90	27075
215	-107.0	107	27182	215	-107.0	107	27182
