Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466	10	-13	13	466
11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479	11	-13	13	479
12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492	12	-13	13	492
13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519	13	-126	27	519
14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532	14	-13	13	532
15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547	15	-15	15	547
16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570	16	-122	23	570
17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584	17	-113	14	584
18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608	18	-123	24	608
19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621	19	-13	13	621
20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641	20	-119	20	641
21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654	21	-13	13	654
22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669	22	-15	15	669
23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682	23	-13	13	682
24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699	24	-116	17	699
25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717	25	-117	18	717
26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730	26	-13	13	730
27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755	27	-124	25	755
28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770	28	-15	15	770
29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783	29	-13	13	783
30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798	30	-15	15	798
31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813	31	-15	15	813
32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826	32	-13	13	826
33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839	33	-13	13	839
34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854	34	-15	15	854
35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867	35	-13	13	867
36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882	36	-114	15	882
37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895	37	-13	13	895
38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920	38	-124	25	920
